Title,Date,Location,Text,URL
Überfall auf Tankstelle,27.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1584646.php
Versammlungslagen am 26. Juli in Berlin - Polizei Berlin zieht Bilanz,27.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1584645.php
Männer mit Messer verletzt,27.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1584644.php
Senior mutmaßlich bestohlen und betrogen – Tatverdächtige festgenommen,25.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1584601.php
Mann wird vermisst,25.07.2025,,"Die Polizei in Soest, Nordrhein-Westfalen, sucht mit einem Foto nach einem 45-jährigen Mann, der sich zuletzt in Berlin aufgehalten haben soll. Möglicherweise ist Herr PASSARGE mit einem schwarzen Audi mit dem Kennzeichen SO-ML 555 unterwegs.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1584373.php
Seniorin verstirbt nach Verkehrsunfall,24.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1583799.php
Raubüberfall auf ein Geldinstitut – Polizei bittet um Mithilfe,24.07.2025,,"Der Gesuchte steht im Verdacht, am Montag, den 23. Juni 2025, in der Zeit von 8:40 bis 8:45 Uhr ein Geldinstitut in der Potsdamer Straße 138 im Ortsteil Schöneberg überfallen zu haben.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1572829.php
Verkehrsunfall mit Polizeibeteiligung,24.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1583916.php
Durchsuchungen wegen Verdachts räuberischer Erpressungen politisch Andersdenkender,23.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1583664.php
Hinweisportal geschlossen,23.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1567250.php
Schlägerei auf dem U-Bahnhof – Wer erkennt die Tatverdächtigen?,23.07.2025,,Mit Bildern aus einer Überwachungskamera sucht die Polizei Berlin nach drei Tatverdächtigen zu einer gefährlichen Körperverletzung.,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1583458.php
Streit unter Schwestern endet im Krankenhaus,22.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1583087.php
Raub in einem Optikergeschäft – Polizei bittet um Mithilfe,22.07.2025,,Die Kriminalpolizei bittet um Mithilfe bei der Suche nach einem mutmaßlichen Räuber.,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582854.php
Unfallflucht – Polizei bittet um Mithilfe,22.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582836.php
Raub auf Erdbeerstand - Festnahme,22.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582775.php
„Action Day“ wegen Verbreitens von IS-Propaganda,21.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582580.php
Polizeiliches Vorgehen im Zusammenhang mit einer Spontankundgebung und einer parallelen Interviewsituation,21.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582440.php
Mann mit Schnittverletzungen im Krankenhaus,21.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582417.php
Personengruppe greift mit Metallrohren und Messern an,20.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582152.php
Verdacht des Totschlags – Mordkommission ermittelt,20.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582151.php
Fahrzeug im Streit mutmaßlich als Tatwaffe benutzt,20.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582149.php
Mann bei Auseinandersetzung mit Messer verletzt,20.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582148.php
Jugendlicher niedergeschossen,20.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582147.php
Vermisstes Kind wieder wohlbehalten zu Hause,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582080.php
Auf Fensterfront eines Lokales geschossen,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582133.php
Straftaten im Zusammenhang mit mutmaßlich religiöser Tatmotivation,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582132.php
Kind läuft gegen fahrendes Auto,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582131.php
Mann durch Schüsse verletzt,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582130.php
Mann bei Angriff erheblich verletzt,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582129.php
Versuchtes Tötungsdelikt durch Schüsse - Mordkommission und Staatsanwaltschaft ermitteln,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582128.php
In den Boden geschossen - Festnahme,19.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582126.php
Fahrrad gestohlen und mit Drogen gedealt - Festnahme,18.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582116.php
Durchsuchungen wegen des unerlaubten Handels mit Betäubungsmitteln unter Verwendung kryptierter Kommunikation,18.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582100.php
Autofahrer fährt Rollerfahrer an,18.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582062.php
Durchsuchungen wegen des Verdachts zweier Erpressungsversuche eines Geschäftsmannes,18.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582033.php
Autofahrer fährt Seniorin an,18.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1582012.php
Durchsuchungen bei Polizeibediensteten wegen Verdachts der Körperverletzung im Amt,17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581691.php
Autofahrerin fährt Fußgängerin an,17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581602.php
Durchsuchungen wegen Verdachts bewusster Falscheinbürgerung,17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581570.php
Vermisster Senior wieder angetroffen,17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581316.php
Wahlkreisbüro beschmiert,17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581525.php
"Gemeinsame Aktion der Polizei Berlin und des ADAC Berlin-Brandenburg - ""Sicher in die Ferien mit dem Wohnmobil & Wohnwagen""",17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581408.php
Mann nach gefährlicher Körperverletzung festgenommen,17.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581396.php
Schaufenster eines Parteibüros beschmiert,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581233.php
Mit Reizgas geschossen – Kind verletzt,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581227.php
Im U-Bahnhof mit Messer bedroht,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581169.php
Betrügerische Handwerker in Wohnung,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581142.php
Sachbeschädigung mit antisemitischem Hintergrund,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581140.php
Frauen im Nachtbus sexuell belästigt,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581136.php
Autofahrer fährt Fußgänger und dessen Lkw an,16.07.2025,,,https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1581093.php
Achtung vor Betrugsversuchen (Polizeidirektion Süd),25.07.2025,,"In den vergangenen Wochen wurden der Polizei wieder vermehrt Betrugsversuche gemeldet. Insbesondere sticht eine Masche heraus, bei der Briefe eines angeblichen Inkassobüros verschickt werden. In den Schreiben werden vermeintlich offenstehende Beträge, meist in Höhe mehrerer hundert Euro, gefordert. Solch einen Brief hatte beispielsweise eine Frau aus Lauchhammer vergangenen Montag erhalten. Sie li...",https://polizei.brandenburg.de/pressemeldung/achtung-vor-betrugsversuchen/5639903
Sachbearbeiter/in Ressourcensteuerung (w/m/d),25.07.2025,,"Der Zentraldienst der Polizei des Landes Brandenburg ist die zentrale Dienstleistungs- und Serviceeinrichtung für die Polizei sowie für andere Organisationsbereiche der Landesverwaltung.

 

Der Zentraldienst der Polizei des Landes Brandenburg, Dienstort Potsdam, sucht zum nächstmöglichen Zeitpunkt für den Bereich Immobilien-Service-Center

 

eine/n Sachbearbeiter/in Ressourcensteuerung (w/m/d).
...",https://polizei.brandenburg.de/pressemeldung/sachbearbeiter-in-ressourcensteuerung-w-/5638554
Physikalisch-technische Assistentin/Physikalisch-technischer Assistent für Urkunden (m/w/d),23.07.2025,,"Das Polizeipräsidium mit seinen mehr als 7.000 Bediensteten trägt zur Sicherheit der rund 2,5 Millionen – in 14 Landkreisen und vier kreisfreien Städten wohnhaften – Brandenburgerinnen und Brandenburger bei.

Das Kriminaltechnische Institut (KTI) beim Landeskriminalamt stellt das zentrale Expertisenlabor für die Polizei des Landes Brandenburg dar und ist eine Abteilung des Landeskriminalamtes. Im ...",https://polizei.brandenburg.de/pressemeldung/physikalisch-technische-assistentin-phys/5637686
Sachbearbeiterin/Sachbearbeiter (m/w/d) Kriminaltechnische Fotografie,23.07.2025,,"Das Polizeipräsidium mit seinen mehr als 7.000 Bediensteten trägt zur Sicherheit der rund 2,5 Millionen – in 14 Landkreisen und vier kreisfreien Städten wohnhaften – Brandenburgerinnen und Brandenburger bei.

Das Kriminaltechnische Institut (KTI) beim Landeskriminalamt stellt das zentrale Expertisenlabor für die Polizei des Landes Brandenburg dar und ist eine Abteilung des Landeskriminalamtes. Im ...",https://polizei.brandenburg.de/pressemeldung/sachbearbeiterin-sachbearbeiter-m-w-d-kr/5637682
Sachbearbeiter/in Werkzeug- und Formspuren oder bereits ausgebildete/r Sachverständige/r m/w/d,23.07.2025,,"Das Polizeipräsidium mit seinen mehr als 7.000 Bediensteten trägt zur Sicherheit der rund 2,5 Millionen – in 14 Landkreisen und vier kreisfreien Städten wohnhaften – Brandenburgerinnen und Brandenburger bei.

Das Kriminaltechnische Institut (KTI) beim Landeskriminalamt stellt das zentrale Expertisenlabor für die Polizei des Landes Brandenburg dar und ist eine Abteilung des Landeskriminalamtes. Im ...",https://polizei.brandenburg.de/pressemeldung/sachbearbeiter-in-werkzeug-und-formspure/5637681
Kraftfahrer/in (w/m/d),23.07.2025,,"Der Zentraldienst der Polizei des Landes Brandenburg ist die zentrale Dienstleistungs- und Serviceeinrichtung für die Polizei sowie für andere Organisationsbereiche der Landesverwaltung.

 

Der Zentraldienst der Polizei des Landes Brandenburg, Dienstort Wünsdorf, sucht zum nächstmöglichen Zeitpunkt für den Bereich Verwaltung

 

eine/n Kraftfahrer/in (w/m/d).

 

Der Teilbereich V5 versteht sich ...",https://polizei.brandenburg.de/pressemeldung/kraftfahrer-in-w-m-d-/5637680
Sachbearbeiter/in Werkzeug- und sonstige Formspuren oder ausgebildete/r Sachverständige/r (m/w/d),23.07.2025,,"Das Polizeipr&auml;sidium mit seinen mehr als 7.000 Bediensteten tr&auml;gt zur Sicherheit der rund 2,5 Millionen &ndash; in 14 Landkreisen und vier kreisfreien St&auml;dten wohnhaften &ndash; Brandenburgerinnen und Brandenburger bei.

Das Kriminaltechnische Institut (KTI) beim Landeskriminalamt stellt das zentrale Expertisenlabor f&uuml;r die Polizei des Landes Brandenburg dar und ist eine Abte...",https://polizei.brandenburg.de/pressemeldung/sachbearbeiter-in-werkzeug-und-sonstige-/5637596
Hochschule der Polizei erhält hochrangige polnische Auszeichnung,17.07.2025,,"Am vergangenen Freitag wurde der Hochschulpräsidentin Prof. Dr. Heike Wagner die höchste Stufe der Ehrenmedaille in der polnischen Polizei verliehen. Die Goldene Medaille überreichte das polnische Innenministerium für die Verdienste um die Polizei.

Im Rahmen der Feierlichkeiten der Polizeischule in Słupsk anlässlich ihres 80-jährigen Bestehens und des Tages der Polizei verlieh das polnische Innen...",https://polizei.brandenburg.de/pressemeldung/hochschule-der-polizei-erhaelt-hochrangi/5633365
"Sattelzug gestohlen, E-Scooter beschädigt (Niederlehme)",16.07.2025,,"Der Diebstahl eines Sattelzuges von einem Tankstellengelände an der Robert-Guthmann-Straße wurde der Polizei am Mittwochmorgen angezeigt. Mit der Information gegen 05:30 Uhr wurden umgehend internationale Fahndungsmaßnahmen nach dem MAN-LKW eingeleitet. Der entstandene Schaden wurde mit rund 80.000 Euro beziffert. Ebenfalls in Niederlehme haben Diebe wiederum in der vergangenen Nacht versucht, ein...",https://polizei.brandenburg.de/pressemeldung/sattelzug-gestohlen-e-scooter-beschaedig/5632722
